BARRA;PRODUCTO;FAM;DESCPROD;LABORATORIO;FECLOTE;NETO;PEDIDO;TOTAL NETO;SALDO
7,80492E+12;M7804923530032;FAR;ADICTIVE 4/0 CASTANO MEDIO;COSMETICA NACIONAL;46722;592;;;50
7,80492E+12;M7804923066036;FAR;ADICTIVE 6/35 AVELLANA X 40 GR;COSMETICA NACIONAL;46692;622;;;50
7,80492E+12;M7804923530131;FAR;ADICTIVE 6/7 CHOCOLATE;COSMETICA NACIONAL;46722;689;;;50
7,80492E+12;M7804923066050;FAR;ADICTIVE 66/46 ROJO GRANADA X 40 GR;COSMETICA NACIONAL;46600;634;;;50
7,80492E+12;M7804923530117;FAR;ADICTIVE 7/1 RUBIO MEDIO CENIZA;COSMETICA NACIONAL;46600;631;;;50
7,80492E+12;M7804923530148;FAR;ADICTIVE 7/3 RUBIO MEDIO DORADO;COSMETICA NACIONAL;46569;504;;;50
7,80492E+12;M7804923530155;FAR;ADICTIVE 7/35 MIEL X 40 GR;COSMETICA NACIONAL;46692;592;;;50
7,80492E+12;GL259319;FAR;ADICTIVE 8/0 RUBIO CLARO X 40 GR;COSMETICA NACIONAL;46630;780;;;10
3,6163E+12;M3616303321987;FAR;ADIDAS DYNAMIC PULSE EDT X 100 ML;PETRIZZIO;46600;8524;;;50
3,6163E+12;M3616303321932;FAR;ADIDAS ICE DIVE EDT X 100 ML;PETRIZZIO;46753;8514;;;50
7,86107E+12;GL19001011;FAR;ADORLAN COM X 10;GRUNENTHAL;46599;5338;;;36
7,80956E+12;M7809561401225;FAR;ADRISIN COM SUB X 50;HEEL;46966;10393;;;50
7,80001E+12;CM100528;FAR;ADROXEF COM 500 MG X 14 (BE);CHILE;45961;28804;;;3
7,80001E+12;M7800007727374;FAR;ADROXEF SUS 250 MG X 100 ML;CHILE;45931;19800;;;50
7,80001E+12;M7800007727534;FAR;ADROXEF SUS 500 MG X 100 ML;CHILE;45992;27992;;;50
7,80005E+12;M7800046005112;FAR;AERO-GASTROL CAP X 20;EUROFARMA;46419;3420;;;50
7,80006E+12;N1001040;FAR;AERO-ITAN CAP X 20;SAVAL;46266;7055;;;50
7,80465E+12;M7804647000224;FAR;AEROCAMARA UNIVERSAL NIÑOS Y ADULTOS SANTEPHARMA;SANTHEPHARMA;47484;1733;;;50
108504;M108504;FAR;AEROCHAMBER PLUS ADULTO MASC GRANDE AZUL X 1;RECALCINE;0;23577;;;50
108508;M108508;FAR;AEROCHAMBER PLUS ADULTO MASC PEQUEÑA MORADO X 1;RECALCINE;0;23144;;;50
7,6286E+11;M762860013469;FAR;AEROCHAMBER PLUS INFANTIL 0-18M MASC NARANJA X 1;RECALCINE;0;23345;;;50
7,6286E+11;M762860013476;FAR;AEROCHAMBER PLUS INFANTIL 1-5 AÑOS MASC AMARILLA X 1;RECALCINE;0;21768;;;50
7,80001E+12;M7800007483997;FAR;AEROFACIDOSE A.E.AD/ESC X 1 (DM);CHILE;47300;2414;;;50
7,80001E+12;M7800007484024;FAR;AEROFACIDOSE AEROCAMARA LACTANTE X 1 (DM);CHILE;46813;1917;;;50
7,80003E+12;M7800029000066;FAR;AEROLIN SOL 5MG/ML X 20ML;GLAXO FARMA;46204;16074;;;50
7,80003E+12;M7800026011836;FAR;AEROVIAL INH 200 MCG X 200 DSS;RECALCINE;46539;12081;;;50
2,03075E+12;M2030751007612;FAR;AESCULUS UNG X 35 GR;KNOP FITOTERAPEUTICOS;46753;2992;;;50
3117000894;M3117000894;FAR;AFFECTIVE ACTIVE G PANTS X 10;CHICOLASTIC;46082;4263;;;50
3117015997;M3117015997;FAR;AFFECTIVE ACTIVE M PANTS X 10;CHICOLASTIC;46478;4263;;;50
3117016222;M3117016222;FAR;AFFECTIVE ADVANCE G PANAL X 10;CHICOLASTIC;46419;4897;;;50
13117001341;M13117001341;FAR;AFFECTIVE COVER PRO SABANILLA X 16;CHICOLASTIC;46113;4575;;;50
7,80492E+12;M7804918452950;FAR;AFT OFF KIDS X 30 GR;PRATER;46204;2535;;;50
7,80492E+12;M7804918452967;FAR;AFT OFF X 30GR X 1;PRATER;46204;2118;;;50
7,80005E+12;M7800046004993;FAR;AFTAGEL GEL BUCAL X 20 GR;EUROFARMA;46235;2860;;;50
8,47E+12;M8470003808996;FAR;AFTER SUN LOTION X 200 ML ISDIN;ISDIN;46204;7231;;;50
7,36085E+11;M736085213195;FAR;AGGLAD SOL OFT 0,2 % X 5 ML;SOPHIA;46753;15081;;;50
7,80006E+12;M7800062001792;FAR;AGUA BIDESTILADA 500 ML X (CAJA X 20) AMP SAND (EC);SANDERSON;46296;957;;;50
7,80007E+12;GL41003;FAR;AGUA DEL CARMEN GTS X  40 ML;PASTEUR;46295;1750;;;199
7,80007E+12;G945652;FAR;AGUA DEL CARMEN GTS X 100 ML;PASTEUR;46142;3364,88;;;50
7,75031E+12;M7750307001448;FAR;AGUA ESTERIL INY X 1000 ML BRAUN (CAJ X 12 UN);BRAUN;46235;968;;;50
4,03054E+12;M4030539204170;FAR;AGUA ESTERIL INY X 500 ML BRAUN (CAJ X 24 UN);BRAUN;46722;768;;;50
7,80004E+12;M7800038040510;FAR;AGUA MELISA CARMINAT X 30 ML;SANITAS;45901;631;;;50
3,60054E+12;M3600542326414;FAR;AGUA MICELAR AGUA DE ROSAS X 400 ML GARNIER;LOREAL;46631;3923;;;50
7,80491E+12;M7804907994362;FAR;AGUA MICELAR AHA GLOW UP X 200 ML;PETRIZZIO;46235;1670;;;50
7,80491E+12;M7804907944015;FAR;AGUA MICELAR ALOE VERA 400 ML;PETRIZZIO;46722;2118;;;50
7,80491E+12;M7804907926585;FAR;AGUA MICELAR ALOE VERA X 200 ML PETRIZZIO;PETRIZZIO;46569;1730;;;50
3,33788E+12;M3337875725897;FAR;AGUA MICELAR BIFASICA ULTRA X 400 ML LA ROCHE POSAY;LA ROCHE POSAY;46419;15091;;;50
3,60054E+12;M3600541744523;FAR;AGUA MICELAR EN ACEITE FACE X 400 ML GARNIER;LOREAL;0;5055;;;50
3,60054E+12;M3600542109802;FAR;AGUA MICELAR EN OLEO X 100 ML GARNIER;LOREAL;46661;2097;;;50
7,89971E+12;M7899706187732;FAR;AGUA MICELAR EXPRESS ACLARA X 100 ML GARNIER;LOREAL;46539;1788;;;50
7,50955E+12;CM107119;FAR;AGUA MICELAR EXPRESS ACLARA X 400 ML GARNIER;LOREAL;46598;4045;;;8
3,60054E+12;CM107028;FAR;AGUA MICELAR GARNIER X 100 ML;LOREAL;46812;1600;;;6
7,50955E+12;M7509552843705;FAR;AGUA MICELAR HIALURONICO X 200 ML LOREAL;LOREAL;46631;3889;;;50
7,80491E+12;M7804907972858;FAR;AGUA MICELAR HYALURONIC X 200 ML;PETRIZZIO;46722;2336;;;50
7,50955E+12;M7509552484373;FAR;AGUA MICELAR PIEL SENSIBLE HIDRA TOTAL5 X 200 ML;LOREAL;46569;3918;;;50
3,33788E+12;M3337875528108;FAR;AGUA MICELAR PIELES REACTIVAS X 400 ML;LA ROCHE POSAY;46661;12959;;;50
3,60054E+12;CM110817;FAR;AGUA MICELAR PURE ACTIVE X 400 ML;LOREAL;46721;3849;;;2
3,33787E+12;M3337872411595;FAR;AGUA MICELAR ULTRA X 400 ML LRP;LA ROCHE POSAY;46692;14022;;;50
7,8049E+12;M7804902043485;FAR;AGUA MICELAR X 250 ML NATURALOE;DAVIS;46357;3362;;;50
7,801E+12;GL77800016;FAR;AGUA OXIGENADA 10 VOLUMENES X 500 ML;DIFEM PHARMA;46873;1440;;;874
7,80006E+12;M7800061002561;FAR;AGUA PARA INYECTABLES 10 ML X 100 UND BIOSANO (EC);BIOSANO;46508;44444;;;50
4,80057E+12;CM112399;FAR;AGUA PARA INYECTABLES 10 ML X 50 UND BIOSANO (EC);BIOSANO;46476;18391;;;25
3,43342E+12;M3433422404397;FAR;AGUA TERMAL X 150 ML LA ROCHE POSAY;LA ROCHE POSAY;46569;10919;;;50
3,33787E+12;M3337871321963;FAR;AGUA TERMAL X 300 ML;LOREAL VICHY LA ROCHE;46692;15991;;;50
7,80006E+12;M7800059002733;FAR;AGUALA GTS 0,75% X 10 ML;ROYAL PHARMA;45931;1127;;;50
6,94924E+12;M6949236203653;FAR;AGUJA HIPOD 19GX1 1/2 X 100 UND (DM);NIPRO;47270;2462;;;50
4,96842E+12;M4968420501018;FAR;AGUJA HIPOD 20 GX1 1/2 X 100 UND NIPRO (DM);NIPRO;47331;2561;;;50
7,80613E+12;M7806130010680;FAR;AGUJA HIPODERMICA 21 G X 1 1/2 CAJA X 100 CRANBERRY (DM);REUTTER;47239;1401;;;50
7,80001E+12;M7800007807625;FAR;AIRDUO 232/14 X 60 DSS;CHILE;45901;22247;;;50
7,80501E+12;M7805010004160;FAR;AIRWICK GEL CITRICO X 70 GR;RECKITT BENCKISER;0;798;;;50
7,80003E+12;GL44440176;FAR;AKRANTA CAP 8 MG X 12;RECALCINE;46234;6850;;;625
7,80006E+12;N5008743;FAR;AKYNZEO 300 MG/0,5MG CAP X 1;GRUNENTHAL;46113;92600;;;50
7,801E+12;M7801000000396;FAR;ALCOHOL 70% ISOPROPILICO SPRAY  X 290 CC DIFEM (DM);DIFEM PHARMA;46753;2469;;;50
10030547;M10030547;FAR;ALCOHOL 70% SPY X 250 ML ELITE;ELITE;46508;1088;;;50
7,801E+12;M7801000206866;FAR;ALCOHOL 95% X 1000 ML DIFEM;DIFEM PHARMA;46419;2400;;;50
7,80005E+12;M7800045001849;FAR;ALCOHOL 95% X 1000 ML ELITE;ELITE;46508;2342;;;50
7,801E+12;M7801000206842;FAR;ALCOHOL 95% X 125 ML DIFEM;DIFEM PHARMA;47543;671;;;50
7,801E+12;M7801000206743;FAR;ALCOHOL 95% X 250 ML DIFEM;DIFEM PHARMA;47300;967;;;50
7,80005E+12;M7800045001825;FAR;ALCOHOL 95% X 250 ML ELITE;ELITE;46447;755;;;50
7,801E+12;M7801000206859;FAR;ALCOHOL 95% X 500 ML DIFEM;DIFEM PHARMA;46447;1450;;;50
7,80005E+12;M7800045001832;FAR;ALCOHOL 95% X 500 ML ELITE;ELITE;46447;1269;;;50
7,801E+12;M7801000001928;FAR;ALCOHOL DESINFEC 70% X 250 ML;DIFEM PHARMA;46388;889;;;50
7,801E+12;M7801000001942;FAR;ALCOHOL DESINFECTANTE  70% X 1 L;DIFEM PHARMA;46419;2298;;;50
7,801E+12;M7801000001935;FAR;ALCOHOL DESINFECTANTE 70% X 500 ML;DIFEM PHARMA;46327;1424;;;50
7,80005E+12;M7800045001788;FAR;ALCOHOL DESNAT 70% X 1000 ML ELITE;ELITE;46478;2348;;;50
10030189;M10030189;FAR;ALCOHOL DESNAT 70% X 500 ML ELITE;ELITE;46447;1167;;;50
7,80465E+12;M7804647000347;FAR;ALCOHOL DESNATURALIZADO 70% X 1000 ML SANTEPHARMA;SANTHEPHARMA;46447;1928;;;50
7,80465E+12;M7804647000323;FAR;ALCOHOL DESNATURALIZADO 70% X 250 ML SANTEPHARMA;SANTHEPHARMA;46447;733;;;50
7,80465E+12;M7804647000316;FAR;ALCOHOL DESNATURALIZADO 70% X 500 ML SANTEPHARMA;SANTHEPHARMA;46447;1093;;;50
10030684;M10030684;FAR;ALCOHOL DESNATURALIZADO GATILLO 70% X 500 ML;ELITE;46508;1419;;;50
7,80465E+12;M7804647000002;FAR;ALCOHOL GEL 70% X 60 ML SANTEPHARMA;SANTHEPHARMA;46419;590;;;50
7,80005E+12;M7800045001733;FAR;ALCOHOL GEL C/VALVULA 1 LT;ELITE;46508;2800;;;50
10030431;M10030431;FAR;ALCOHOL GEL X 340 ML ELITE;ELITE;46508;1589;;;50
7,80005E+12;M7800045000910;FAR;ALCOHOL GEL X 60 ML ELITE;ELITE;46508;537;;;50
7,801E+12;M7801000001874;FAR;ALCOHOL HIGIENIZANTE 70% X 500 ML;DIFEM PHARMA;46813;1294;;;50
7,80003E+12;CM100644;FAR;ALDINAM COM 100 MG X 30;RECALCINE;46387;35230;;;7
7,80003E+12;GL44440124;FAR;ALDINAM COM 50 MG X 30;RECALCINE;46387;19060;;;18
7,80007E+12;M7800068010156;FAR;ALDROX COM 70 MG X 10;PASTEUR;46204;10291;;;50
89696778;M89696778;FAR;ALEJANDRIA HOJAS X  8 GR (CAJ X 25) QUIMNATURA;QUIMNATURA;46447;292;;;50
9,98077E+12;M9980770005621;FAR;ALEJANDRIA HOJAS X 24 GR QUIMNATURA;QUIMNATURA;46388;843;;;50
7,80001E+12;CM109009;FAR;ALERDRAG SHA X 150 ML;VETERINARIA DRAG PHARMA;46783;8294;;;107
7,80007E+12;G560978;FAR;ALERPAST COM 5 MG X 30;PASTEUR;45960;1749,24;;;50
7,80332E+12;M7803319004584;FAR;ALERPHYT X 90 CAP AURAVITALIS;AURAVITALIS;46113;2354;;;50
7,80006E+12;M7800060414082;FAR;ALERTEX COM 100 MG X 30;SAVAL;45901;11659;;;50
7,80006E+12;GL253852;FAR;ALERTEX COM 200 MG X 30;SAVAL;46538;23990;;;27
7,80001E+12;GL22225029;FAR;ALERXO COM 120 MG X 30 (BE);CHILE;46295;10990;;;325
7,80001E+12;M7800007805324;FAR;ALERXO FORTE COM 180 MG X 30 (BE);CHILE;46600;10987;;;50
7,80006E+12;CM100656;FAR;ALEXIA COM 120 MG X 10 (BE);SAVAL;46446;9090;;;16
7,80006E+12;CM100657;FAR;ALEXIA COM 120 MG X 30 (BE);SAVAL;46691;15625;;;239
7,80006E+12;CM100659;FAR;ALEXIA FTE COM 180 MG X 10 (BE);SAVAL;46387;10206;;;86
7,80006E+12;GL251066;FAR;ALEXIA FTE COM 180 MG X 30 (BE);SAVAL;46446;16966;;;191
7,80006E+12;CM100658;FAR;ALEXIA-D CAP X 10;SAVAL;46081;10232;;;3
7,80001E+12;M7800007421883;FAR;ALFADOXIN COM 4 MG X 30 (BE);CHILE;46600;6318;;;50
7,61304E+12;GL12605050;FAR;ALFAMINO PVO X 400 GR;NESTLE;46306;26990;;;12
7,8035E+12;GL293835;FAR;ALFAPASS GTS X 30 ML KNOP;KNOP FITOTERAPEUTICOS;47483;3118;;;20
7,80465E+12;M7804650885733;FAR;ALFEXA COM 120 MGX 30 (BE);ASCEND;47058;10590;;;50
7,80465E+12;CM109697;FAR;ALFEXA COM 180 MG X 30;ASCEND;46964;9930;;;155
5,392E+12;G774562;FAR;ALFLOREX CAP X 30;AXON;46660;14559,9;;;50
7,80461E+12;GL27200027;FAR;ALGIAFIN GTS X 15 ML;INTERPHARMA (IPHSA);46234;1149;;;3786
7,80613E+12;M7806130013926;FAR;ALGODON HIDROFILO PRENSADO TRESOR 1 KG;REUTTER;47331;5488;;;50
7,80519E+12;M7805190000297;FAR;ALGODON HIDROFILO ROLLO X 100 GR CGA (DM);CGA CHILE;0;717;;;50
7,80519E+12;M7805190000303;FAR;ALGODON HIDROFILO ROLLO X 200 GR CGA (DM);CGA CHILE;0;1508;;;50
7,80519E+12;M7805190000310;FAR;ALGODON HIDROFILO ROLLO X 50 GR CGA (DM);CGA CHILE;0;351;;;50
7,80613E+12;M7806130006911;FAR;ALGODON PRENSADO CRANBERRY HIDROFILO PREMIUM X 1 KG (DM);REUTTER;47270;7018;;;50
7,80613E+12;GL100001468;FAR;ALGODON PRENSADO CRANBERRY HIDROFILO X 100 GR REUTTER (DM);REUTTER;47391;1050;;;329
8,85022E+12;M8850217600119;FAR;ALIMENTADOR DE FRUTAS SILICONA 6+ BH;BEST HOUSE;48549;1805;;;50
7,80462E+12;G978564;FAR;ALIVIDOL COM 1 GR X 20 (PARACETAMOL);OPKO;46417;1067,33;;;50
7,80462E+12;GL30701006;FAR;ALIVIDOL COM 500 MG X 20 (PARACETAMOL);OPKO;46387;287;;;208
7,80006E+12;M7800060158658;FAR;ALIZON 20 COM X 28;SAVAL;46419;10599;;;50
7,80006E+12;GL66661090;FAR;ALIZON COM X 28;SAVAL;46356;10802;;;11
7,8E+12;G322156;FAR;ALL OUT NATURAL PREVENTIVO SHA X 250 ML;MAVER;46507;3041,42;;;50
7,8E+12;M7800004003693;FAR;ALL OUT PIOJOS LOC X 150 ML (DM);MAVER;46419;5970;;;50
7,8E+12;G543233;FAR;ALL OUT PIOJOS PREVENTIVO SP X 120 ML;MAVER;46233;3279,81;;;50
7,8E+12;M7800004005598;FAR;ALL OUT SP CRYSTAL CONTINUOS X 150 ML (DM);MAVER;46419;5990;;;50
